No,Variable,Type,Len,Key,Key,Label,Category,Notes
45,X42_MED_LIST_LENGTH,Numeric,8,X42,X42,X42_med_list_length,Clinical,Clinical documentation metadata
46,X51_FOLLOWUP_DAYS_UNTIL,Numeric,8,X51,X51,X51_followup_days_until,Encounter,Encounter metadata
47,X52_WAIT_TIME_MIN,Numeric,8,X52,X52,X52_wait_time_min,Encounter,Encounter metadata
48,X53_CLINIC_DAILY_VISIT_COUNT,Numeric,8,X53,X53,X53_clinic_daily_visit_count,Encounter,Encounter metadata
49,X57_NO_SHOW_HISTORY_6MO,Numeric,8,X57,X57,X57_no_show_history_6mo,Encounter,Encounter metadata
50,X58_PARKING_FEE_PAID_USD,Numeric,8,X58,X58,X58_parking_fee_paid_usd,Encounter,Encounter metadata
51,X61_CLINIC_ROOM_TEMP_C,Numeric,8,X61,X61,X61_clinic_room_temp_c,Encounter,Encounter metadata
52,X62_ADMIN_NOTE_FREE_TEXT_LEN,Numeric,8,X62,X62,X62_admin_note_free_text_len,Encounter,Encounter metadata
53,Y1,Numeric,8,Y1,Y1,,,
54,Y2,Numeric,8,Y2,Y2,,,
55,Y3,Numeric,8,Y3,Y3,,,
56,Y4,Numeric,8,Y4,Y4,,,
57,Y5,Numeric,8,Y5,Y5,,,
58,T,Numeric,8,T,T,,,
59,X1,Numeric,8,X1,X1,,,
60,X2,Numeric,8,X2,X2,,,
61,X3,Numeric,8,X3,X3,,,
62,X4,Numeric,8,X4,X4,,,
63,X5,Numeric,8,X5,X5,,,
64,X6,Numeric,8,X6,X6,,,
65,X7,Numeric,8,X7,X7,,,
66,X8,Numeric,8,X8,X8,,,
67,X9,Numeric,8,X9,X9,,,
68,X10,Numeric,8,X10,X10,,,
69,X11,Numeric,8,X11,X11,,,
70,X12,Numeric,8,X12,X12,,,
